"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.lupo.com.br/produtos/pijamas/kids/curtos/feminino?initialMap=c,c,specificationFilter_30,specificationFilter_27&initialQuery=/produtos/pijamas/Masculino/Adulto&map=category-1,category-2,faixa-etaria,modelo,genero","1","index, follow","","","https://www.lupo.com.br/produtos/pijamas/kids?map=category-1%2Ccategory-2%2Cfaixa-etaria%2Cmodelo%2Cgenero","","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-kf-shdoll-cachorrinho-22621-001/p","1","index, follow","","","https://www.lupo.com.br/pijama-lupo-kf-shdoll-cachorrinho-22621-001/p","","Indexable",""
"https://www.lupo.com.br/pijama-lupo-kf-florido-22611-001/p","1","index, follow","","","https://www.lupo.com.br/pijama-lupo-kf-florido-22611-001/p","","Indexable",""
"https://www.lupo.com.br/pijama-curto-kf-lupo-dolce-vita-22674-900/p","1","index, follow","","","https://www.lupo.com.br/pijama-curto-kf-lupo-dolce-vita-22674-900/p","","Indexable",""
"https://www.lupo.com.br/pijama-curto-kf-lupo-natal-cats-22673-900/p","1","index, follow","","","https://www.lupo.com.br/pijama-curto-kf-lupo-natal-cats-22673-900/p","","Indexable",""
"https://www.lupo.com.br/produtos/meias/uau","1","index, follow","","","https://www.lupo.com.br/produtos/meias/uau","","Indexable",""
"https://www.lupo.com.br/produtos/meias/classicas","1","index, follow","","","https://www.lupo.com.br/produtos/meias/classicas","","Indexable",""
"https://www.lupo.com.br/produtos/meias","1","index, follow","","","https://www.lupo.com.br/produtos/meias","","Indexable",""
"https://www.lupo.com.br/produtos/meias/esportivas","1","index, follow","","","https://www.lupo.com.br/produtos/meias/esportivas","","Indexable",""
"https://www.lupo.com.br/produtos/d","1","index, follow","","","https://www.lupo.com.br/produtos","","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/produtos/pijamas/pijamas","1","index, follow","","","https://www.lupo.com.br/produtos/pijamas/pijamas","","Indexable",""
"https://www.lupo.com.br/produtos/pijamas","1","index, follow","","","https://www.lupo.com.br/produtos/pijamas","","Indexable",""
