"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://lupoio.vtexassets.com/arquivos/ids/355134/20632-001-8000-1.png?v=639063523524600000","image/png","333125","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/355101/20631-001-6100-1.png?v=639063523441900000","image/png","288104","2","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/321179-400-auto?v=638950274120100000&width=400&height=auto&aspect=true","image/png","69608","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/338680-400-auto?v=638998378739000000&width=400&height=auto&aspect=true","image/png","110288","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/338619-400-auto?v=638950275439330000&width=400&height=auto&aspect=true","image/png","72889","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/decd0a7d-3bd0-42e8-b2e6-38d4a65b2c79___c34cb927d5300525c7a2d09d45111a0e.jpg","image/jpeg","675860","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/343370-400-auto?v=638950275806700000&width=400&height=auto&aspect=true","image/png","80719","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/cf7b7e53-c60c-4474-9b07-c2903311f67b___1cbc6a50ec59a21071fea3de0cd57144.jpg","image/jpeg","581393","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/332633/28963-001-9990-1.png?v=638950275012900000","image/png","222030","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/332771/28981-002-3830-1.png?v=638950275022530000","image/png","179808","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/330576/28966-001-9990-1.png?v=638950274871170000","image/png","289183","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/337156/28964-002-2370-1.png?v=638950275334700000","image/png","352932","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/45a763d3-7d6b-44b2-a244-f4a68240a973___3fbbce80b21399b3ee966c3ae6974c3c.jpg","image/jpeg","615337","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/ed465e07-df8b-4c76-80ac-d22bf2bac7fd___d96751ad9251ad7bf933aab3038efe77.jpg","image/jpeg","356596","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/347442/28968-007-2422-1.png?v=638950276139530000","image/png","306077","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/349024/28965-007-3530-1.png?v=638950276387330000","image/png","172148","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/321201-400-auto?v=638950274133400000&width=400&height=auto&aspect=true","image/png","91550","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/5aa248da-09ce-4316-ac55-29fc7787d7d3___7d8fd026e78a4cac3909239212d0ff21.jpg","image/jpeg","445737","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/340520/02725-005-1120-1.png?v=638950275583230000","image/png","339385","3","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/45213911-7775-46be-89d1-3c7116827a1b___f3b6377f0fd87a25cf74e290fb03924c.jpg","image/jpeg","758288","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/346093/02830-088-0901-1.png?v=638950276029500000","image/png","457266","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/d9eccbc7-b9f5-44d7-84ac-732323fce47a___93ec1ab492a204d7a08b5fad2e1e22ce.jpg","image/jpeg","849700","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/00e5c131-24b2-4f63-a1b8-6d3988d696a6___8e6efe455cae06fbf46d1285590c6d66.jpg","image/jpeg","556276","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/345059-400-auto?v=638950275942830000&width=400&height=auto&aspect=true","image/png","117469","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/345086-400-auto?v=639119564011900000&width=400&height=auto&aspect=true","image/png","110801","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/pdp-logo-image.png","image/png","2769","25","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/355574-400-auto?v=639063524638000000&width=400&height=auto&aspect=true","image/png","105158","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/321274-400-auto?v=638950274155670000&width=400&height=auto&aspect=true","image/png","71602","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/355576-400-auto?v=639095241459670000&width=400&height=auto&aspect=true","image/png","103817","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/355577-400-auto?v=639095241459670000&width=400&height=auto&aspect=true","image/png","169180","1","Indexable","",""
"https://lupo.vtexassets.com/arquivos/ids/355578-400-auto?v=639095241459670000&width=400&height=auto&aspect=true","image/png","197810","1","Indexable","",""
