Relatório de palavras-chave da rede de pesquisa
Todo o período
Ação de conversão,Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
,,,Total: Correspondências de páginas de destino da AI Max,,,,,,USD,"452,28",461,22,"4,77%","9,48","208,50",22,"0,00%","0,00","9,48","0,00"
Sessão 45seg,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Agendamento | Site,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 35seg,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form submit,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 40seg,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Clique no Botão de Ligação,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
V4 - Envio de Formulário,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Calls from ads,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
