"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.lolaaviamentos.com.br/acessorios/","text/html; charset=UTF-8","200","OK","Indexable","","8f5348eb1340c9b2f02225360beb5bc2","45","https://www.lolaaviamentos.com.br/acessorios/","https://www.lolaaviamentos.com.br/acessorios/"
"https://www.lolaaviamentos.com.br/produtos/","text/html; charset=UTF-8","200","OK","Indexable","","6053370dbd71fc941554e0c82f59efb4","43","https://www.lolaaviamentos.com.br/produtos/","https://www.lolaaviamentos.com.br/produtos/"
"https://www.lolaaviamentos.com.br/account/reset","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","47","","https://www.lolaaviamentos.com.br/account/reset"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/branca/","text/html; charset=UTF-8","200","OK","Indexable","","69825749b0f1e079d14870081515c3d1","62","https://www.lolaaviamentos.com.br/entretela-de-memoria/branca/","https://www.lolaaviamentos.com.br/entretela-de-memoria/branca/"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","text/html; charset=UTF-8","200","OK","Indexable","","db1a1024258dfb8beb4bc1d172f9afa5","76","https://www.lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","https://www.lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","text/html; charset=UTF-8","200","OK","Indexable","","bd386ab1cfbcd63978bccb314f095498","73","https://www.lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","https://www.lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/"
"https://www.lolaaviamentos.com.br/contato/","text/html; charset=UTF-8","200","OK","Indexable","","e48086069f15865f9a5ded7df53fbeae","42","https://www.lolaaviamentos.com.br/contato/","https://www.lolaaviamentos.com.br/contato/"
"https://www.lolaaviamentos.com.br/liquidacao/","text/html; charset=UTF-8","200","OK","Indexable","","f37a6155f0d3e1a018b2476dca3e2a9","45","https://www.lolaaviamentos.com.br/liquidacao/","https://www.lolaaviamentos.com.br/liquidacao/"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/preta/","text/html; charset=UTF-8","200","OK","Indexable","","d6b61a015904ee5415ca49e3b1b312f8","61","https://www.lolaaviamentos.com.br/entretela-de-memoria/preta/","https://www.lolaaviamentos.com.br/entretela-de-memoria/preta/"
"https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","text/html; charset=UTF-8","200","OK","Indexable","","85cc87427ad471fb1a234102bc2c3d5a","60","https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","text/html; charset=UTF-8","200","OK","Indexable","","896621bc839852f8c7a917fb66f8197","70","https://www.lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","https://www.lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/"
